Word				Tries
-------------------------
BlackPanther            8
PacificRimUprising      8
ReadyPlayerOne          8
Avengers                8
StarWars                8
JurassicWorld           8
BeautyAndTheBeast       8
Skyfall                 8
DespicableMe            8
TheHobbit               8
HarryPotter             8
FindingDory             8
Aquaman                 8
Minions                 8
IronMan                 8
Incredibles             8
Frozen                  8
ToyStory                8
Zootopia                8
Jumanji                 8   
Titanic                 8
CaptainAmerica          8
SlenderMan              8
Deadpool                8
AliceInWonderland       8
PiratesOfTheCaribbean   8
TheLionKing             8
TheJungleBook           8
FantasticBeasts         8
Bumblebee               8
MazeRunner              8
TheShapeOfWater         8
Thor                    8
WonderWoman             8
GuardiansOfTheGalaxy    8
JusticeLeague           8
Logan                   8
Kong                    8
SpiderMan               8
Smurfs                  8
FiftyShades             8
PitchPerfect            8
Transformers            8
TheMummy                8
Alien                   8
Kingsman                8
It                      8
JohnWick                8
Annabelle               8
BatmanVSuperman         8
XMen                    8
TheHuntsman             8
TheMartian              8
TheRevenant             8
MissionImpossible       8
Kingsman                8
Cinderella              8
AntMan                  8
ItFollows               8
Ted                     8
TheTheoryOfEverything   8
EdgeOfTomorrow          8
Godzilla                8
AboutTime               8
TheGreatGatsby          8
TheConjuring            8
Prisoners               8
UnderTheSkin            8
WorldWarZ               8
NowYouSeeMe             8
PacificRim              8
Battleship              8
TheTwilight             8
TheHungerGames          8
Madagascar              8
MenInBlack              8
FastAndFirious          8
FinalDestination        8
