Word				Tries
-------------------------
Suntana 			8
programming			8
networking			8
ram                 6
user                8
keyboard            16            
software            16
database            16
bug                 6
protocal            16
task                8
tier                8
desktop             14
environment         22
hardware            16
function            16
virus               10
memory              12
establish	    18
strategy            16
client              12
advantage           18
commercial          20
duplicate           18
facilitate          20
discuss             14
assistant           18	
candidate           1
directory           18
fluent              12
application         22	
policy              12
cost                8
manutacturer        24	
inventory           18
auction             14
currency            16	
debt                8
forecast            16
transaction         22
implement           18
institute           18
priority            16
amateur             14
destination         22
auditorium          20
insecure            16
rapacious           18
proud               10
aggressive          20          
problem             14
licence             14
majesty             14
skip                8
snack               10
west                8
damage              12
question            16
refresh             14
cuisine             14
bubble              12
grey                8
lemon               10
opera               10
rate                8
thread              12
toll                8
ellipse             14
ideal               10
success             14
underwear           18
gallery             14
indeed              12
asleep              12
roar                8
scope               10
vender              12
careful             14
may                 6
siren               10
tomorrow            16
verify              12
undo                8
primary             14
distance            16
border              12
jungle              12
kinetic             14
local               10
quiet               10
shelter             14
delete              12
biology             14
number              12
temporary           18
vibrate             14
whale               10
yellow              12
